id;L;b;h;P;E;Delta;Sigma_max
000;1278.7679;99.2806;75.8907;2000.0000;210000.0000;1.839;27.34
001;1499.4491;44.4979;78.8993;2000.0000;210000.0000;5.88;67.48
002;1879.7788;76.7213;87.8837;2000.0000;210000.0000;4.859;38.61
003;1571.4199;54.5771;66.0543;2000.0000;210000.0000;9.392;81.98
004;1690.0096;96.2062;86.5911;2000.0000;210000.0000;2.944;28.73
005;1429.1906;79.5450;92.9408;2000.0000;210000.0000;1.745;25.18
006;1246.1538;42.9769;57.3408;2000.0000;210000.0000;9.097;108.3
007;1643.7184;40.2962;64.9731;2000.0000;210000.0000;15.29;119.9
008;1342.6171;63.9324;99.1727;2000.0000;210000.0000;1.482;27.03
009;1213.5233;27.0989;69.6223;2000.0000;210000.0000;7.449;116.1
010;1970.3242;88.7276;37.0048;2000.0000;210000.0000;64.6;198.2
011;1397.1995;57.7796;81.9011;2000.0000;210000.0000;3.271;44.2
012;1158.6877;36.3294;73.1772;2000.0000;210000.0000;4.16;74.79
013;1955.4628;75.5993;42.7991;2000.0000;210000.0000;47.93;174.71
014;1740.1225;67.3850;97.1946;2000.0000;210000.0000;3.24;34.07
015;1847.3223;48.5368;52.8747;2000.0000;210000.0000;33.42;169.38
016;1918.6541;70.7878;90.6669;2000.0000;210000.0000;5.1;40.4
017;1119.1590;29.0128;76.0131;2000.0000;210000.0000;4.2;83.83
018;1068.3685;90.7732;55.3127;2000.0000;210000.0000;3.01;46.85
019;1783.4192;93.2552;44.5712;2000.0000;210000.0000;26.08;118.63
020;1573.8388;41.6121;77.4862;2000.0000;210000.0000;7.66;78.88
021;1681.2099;67.5588;57.8002;2000.0000;210000.0000;13.84;91.13
022;1034.2567;71.5019;66.7995;2000.0000;210000.0000;1.97;39.66
023;1236.6816;76.2605;94.5355;2000.0000;210000.0000;1.12;23.44
024;1948.8934;84.8703;69.7955;2000.0000;210000.0000;9.75;57.54
025;1868.1853;28.6063;88.2327;2000.0000;210000.0000;12.64;105.51
026;1730.6241;59.1423;51.1637;2000.0000;210000.0000;24.88;137.28
027;1685.6480;33.0313;73.9668;2000.0000;210000.0000;13.64;116.38
028;1066.0329;95.3459;50.0897;2000.0000;210000.0000;3.03;54.03
029;1461.8356;72.5383;70.4746;2000.0000;210000.0000;4.68;49.42
